Reward,Time,Actions
44,28.0319998264,[(8, 126), (), (), (), (), (), (), (171,), (), (124,), (78,), (179,), (), (42,), (), (), (23,), (), (30,), ()]
35,26.4650001526,[(4,), (), (), (), (), (), (), (), (), (125,), (137,), (96,), (172,), (16,), (193,), (), (), (154,), (), ()]
26,27.5290000439,[(75,), (), (), (), (), (), (), (), (127,), (), (16,), (141,), (10,), (108,), (162,), (126,), (), (), (116,), ()]
38,26.3019998074,[(2, 146), (), (), (), (3,), (), (), (), (), (), (), (), (103,), (), (159,), (99,), (), (169,), (), ()]
34,24.2380001545,[(28, 113, 157), (), (), (), (), (), (), (), (), (103,), (124,), (42,), (), (187,), (), (14,), (86,), (), (23,), ()]
24,24.6349999905,[(32,), (), (53,), (), (), (), (), (), (), (), (), (), (), (187,), (), (), (), (12,), (), ()]
19,27.3429999352,[(8, 106, 134), (), (), (), (), (), (), (125,), (), (), (91,), (), (15,), (), (75,), (), (44,), (137,), (187,), ()]
13,30.4760000706,[(37,), (), (), (), (1,), (), (), (), (41,), (66,), (), (), (), (), (162,), (111,), (30,), (183,), (74,), ()]
23,31.1129999161,[(42,), (23,), (180,), (), (16,), (23,), (), (), (), (), (), (), (), (), (76,), (155,), (112,), (), (), ()]
40,25.3329999447,[(2,), (), (), (), (), (), (), (), (), (), (187,), (), (), (103,), (130,), (91,), (50,), (), (), ()]
27,25.1750001907,[(79, 112, 199), (), (), (109,), (162,), (), (), (), (), (), (), (), (), (), (101,), (179,), (), (49,), (167,), ()]
37,28.4449999332,[(), (26,), (), (78,), (), (3,), (), (), (), (), (), (), (), (), (83,), (), (112,), (), (), ()]
4,32.2660000324,[(56, 94, 127, 153), (), (125,), (), (108,), (8,), (), (42,), (21,), (), (), (), (), (112,), (), (), (58,), (17,), (), ()]
20,28.3919999599,[(37,), (), (101,), (), (), (), (), (), (), (137,), (131,), (124,), (), (118,), (162,), (), (112,), (), (9,), ()]
31,28.0269999504,[(), (101,), (), (), (), (), (), (), (), (), (131,), (112,), (), (), (), (124,), (125,), (), (), ()]
28,26.6530001163,[(0, 4, 112), (), (), (), (), (), (), (126,), (138,), (62,), (197,), (), (9,), (), (24,), (), (51,), (163,), (149,), ()]
36,27.4359998703,[(51,), (), (), (), (), (), (), (), (156,), (182,), (), (3,), (), (), (58,), (191,), (112,), (), (129,), ()]
3,29.1410000324,[(13, 45, 185, 191), (), (), (), (25,), (), (), (), (), (), (), (74,), (193,), (41,), (58,), (42,), (183,), (196,), (), ()]
27,27.9590001106,[(12,), (), (), (), (0,), (), (), (), (), (), (86,), (15,), (), (), (137,), (), (129,), (), (), ()]
32,26.3239998817,[(103,), (), (), (), (), (), (), (), (), (), (179,), (187,), (43,), (), (162,), (), (78,), (), (32,), ()]
32,27.013999939,[(0, 9, 62, 101), (), (), (), (), (), (), (91,), (156,), (), (), (), (28,), (7,), (), (60,), (146,), (), (171,), ()]
35,25.5690000057,[(3,), (), (), (), (), (), (), (), (), (125,), (138,), (), (99,), (146,), (24,), (27,), (49,), (8,), (), ()]
28,26.0529999733,[(9,), (), (51,), (), (), (), (), (), (), (), (), (), (84,), (129,), (), (), (), (163,), (), ()]
32,29.5350000858,[(103,), (), (), (), (), (), (), (162,), (140,), (33,), (108,), (), (111,), (109,), (), (), (124,), (30,), (166,), ()]
25,27.0850000381,[(6,), (), (), (), (), (), (), (), (68,), (78,), (11,), (51,), (173,), (130,), (), (140,), (), (154,), (27,), ()]
24,28.2839999199,[(78,), (129,), (), (), (150,), (), (), (), (), (), (), (), (100,), (), (), (162,), (26,), (), (), ()]
30,29.1089999676,[(), (125,), (), (), (), (), (), (), (), (109,), (83,), (106,), (), (), (35,), (49,), (74,), (), (129,), ()]
13,27.4340000153,[(15,), (), (), (), (), (), (), (), (59,), (187,), (171,), (112,), (), (), (), (), (), (32,), (), ()]
45,29.7460000515,[(130,), (32,), (), (), (), (), (), (), (180,), (116,), (110,), (171,), (), (129,), (23,), (), (19,), (), (99,), ()]
28,27.0080001354,[(2, 50, 101), (), (), (), (), (), (), (), (110,), (124,), (99,), (23,), (74,), (), (106,), (), (), (125,), (), ()]
33,26.3109998703,[(23,), (23,), (100,), (), (), (), (), (), (), (), (109,), (117,), (8,), (140,), (154,), (), (), (), (186,), ()]
12,31.1990001202,[(103,), (), (), (), (), (), (187,), (96,), (162,), (116,), (15,), (187,), (0,), (), (), (), (), (), (99,), ()]
23,31.7799999714,[(9,), (), (), (187,), (124,), (50,), (), (146,), (32,), (83,), (), (), (), (), (), (), (), (162,), (197,), ()]
35,26.1659998894,[(), (150,), (), (), (), (), (), (), (), (), (), (74,), (), (104,), (164,), (), (187,), (191,), (), ()]
33,26.5659999847,[(187,), (187,), (15,), (), (), (), (), (), (), (), (), (), (124,), (137,), (41,), (24,), (139,), (), (149,), ()]
22,24.0759999752,[(1, 40, 150), (), (), (), (), (), (171,), (), (), (), (102,), (), (52,), (), (2,), (14,), (140,), (188,), (83,), ()]
34,24.5510001183,[(100,), (), (), (), (), (), (), (), (), (), (86,), (78,), (61,), (), (105,), (17,), (), (80,), (32,), ()]
35,28.8289999962,[(1, 116, 173), (), (), (86,), (137,), (16,), (), (), (), (), (), (), (134,), (150,), (99,), (112,), (49,), (), (196,), ()]
30,25.3209998608,[(26,), (), (103,), (), (1,), (), (), (), (), (), (), (), (), (), (), (), (175,), (138,), (), ()]
35,24.9070000648,[(50, 122), (), (), (), (), (), (), (), (), (91,), (), (137,), (), (32,), (), (124,), (33,), (166,), (163,), ()]
21,29.6979999542,[(52, 103, 193), (), (), (), (), (), (), (196,), (140,), (171,), (62,), (116,), (197,), (58,), (43,), (54,), (130,), (188,), (59,), ()]
24,32.0120000839,[(56,), (), (15,), (), (171,), (41,), (100,), (), (), (), (), (), (), (102,), (), (75,), (), (), (66,), ()]
35,24.3239998817,[(3,), (), (), (), (), (), (), (), (), (12,), (), (181,), (58,), (), (28,), (190,), (), (112,), (154,), ()]
